representation,disease_class,n_samples,intra_class_distance,intra_class_std,nearest_neighbor_class,centroid_distance_to_nearest
dinov2,Acne and Rosacea Photos,862,0.2344,0.1424,Light Diseases and Disorders of Pigmentation,0.0796
dinov2,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,1393,0.2861,0.1681,Seborrheic Keratoses and other Benign Tumors,0.0251
dinov2,Atopic Dermatitis Photos,603,0.3394,0.164,Systemic Disease,0.0342
dinov2,Bullous Disease Photos,544,0.2848,0.1797,Psoriasis pictures Lichen Planus and related diseases,0.0157
dinov2,Cellulitis Impetigo and other Bacterial Infections,351,0.3012,0.1443,Psoriasis pictures Lichen Planus and related diseases,0.0156
dinov2,Eczema Photos,1422,0.2836,0.1248,Psoriasis pictures Lichen Planus and related diseases,0.0414
dinov2,Exanthems and Drug Eruptions,468,0.3411,0.1343,Urticaria Hives,0.0442
dinov2,Hair Loss Photos Alopecia and other Hair Diseases,277,0.3396,0.1624,Tinea Ringworm Candidiasis and other Fungal Infections,0.1688
dinov2,Herpes HPV and other STDs Photos,487,0.2768,0.1614,Tinea Ringworm Candidiasis and other Fungal Infections,0.0375
dinov2,Light Diseases and Disorders of Pigmentation,686,0.3144,0.1435,Lupus and other Connective Tissue diseases,0.0234
dinov2,Lupus and other Connective Tissue diseases,519,0.3672,0.1389,Light Diseases and Disorders of Pigmentation,0.0234
dinov2,Melanoma Skin Cancer Nevi and Moles,557,0.2617,0.1712,Seborrheic Keratoses and other Benign Tumors,0.0218
dinov2,Nail Fungus and other Nail Disease,1164,0.1925,0.1568,Eczema Photos,0.2954
dinov2,Poison Ivy Photos and other Contact Dermatitis,316,0.3183,0.168,Systemic Disease,0.0204
dinov2,Psoriasis pictures Lichen Planus and related diseases,1590,0.3223,0.1596,Tinea Ringworm Candidiasis and other Fungal Infections,0.0096
dinov2,Scabies Lyme Disease and other Infestations and Bites,522,0.3802,0.2261,Systemic Disease,0.0396
dinov2,Seborrheic Keratoses and other Benign Tumors,1685,0.2896,0.1741,Melanoma Skin Cancer Nevi and Moles,0.0218
dinov2,Systemic Disease,739,0.352,0.2033,Psoriasis pictures Lichen Planus and related diseases,0.0194
dinov2,Tinea Ringworm Candidiasis and other Fungal Infections,1554,0.324,0.1944,Psoriasis pictures Lichen Planus and related diseases,0.0096
dinov2,Urticaria Hives,261,0.216,0.1098,Exanthems and Drug Eruptions,0.0442
dinov2,Vascular Tumors,592,0.3365,0.1305,Warts Molluscum and other Viral Infections,0.027
dinov2,Vasculitis Photos,510,0.2302,0.1511,Bullous Disease Photos,0.0361
dinov2,Warts Molluscum and other Viral Infections,1200,0.2937,0.1387,Vascular Tumors,0.027
resnet50,Acne and Rosacea Photos,862,0.2784,0.1359,Cellulitis Impetigo and other Bacterial Infections,0.0428
resnet50,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,1393,0.3341,0.125,Seborrheic Keratoses and other Benign Tumors,0.0276
resnet50,Atopic Dermatitis Photos,603,0.337,0.1237,Poison Ivy Photos and other Contact Dermatitis,0.0302
resnet50,Bullous Disease Photos,544,0.3594,0.1131,Psoriasis pictures Lichen Planus and related diseases,0.0182
resnet50,Cellulitis Impetigo and other Bacterial Infections,351,0.3394,0.1085,Poison Ivy Photos and other Contact Dermatitis,0.0193
resnet50,Eczema Photos,1422,0.3025,0.1128,Psoriasis pictures Lichen Planus and related diseases,0.0353
resnet50,Exanthems and Drug Eruptions,468,0.3354,0.0959,Atopic Dermatitis Photos,0.0366
resnet50,Hair Loss Photos Alopecia and other Hair Diseases,277,0.3934,0.1533,Acne and Rosacea Photos,0.1502
resnet50,Herpes HPV and other STDs Photos,487,0.3459,0.1239,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,0.0313
resnet50,Light Diseases and Disorders of Pigmentation,686,0.3359,0.1057,Lupus and other Connective Tissue diseases,0.0156
resnet50,Lupus and other Connective Tissue diseases,519,0.3707,0.1122,Light Diseases and Disorders of Pigmentation,0.0156
resnet50,Melanoma Skin Cancer Nevi and Moles,557,0.3387,0.118,Seborrheic Keratoses and other Benign Tumors,0.0213
resnet50,Nail Fungus and other Nail Disease,1164,0.2059,0.1243,Warts Molluscum and other Viral Infections,0.1133
resnet50,Poison Ivy Photos and other Contact Dermatitis,316,0.3451,0.1078,Cellulitis Impetigo and other Bacterial Infections,0.0193
resnet50,Psoriasis pictures Lichen Planus and related diseases,1590,0.3627,0.1188,Tinea Ringworm Candidiasis and other Fungal Infections,0.0151
resnet50,Scabies Lyme Disease and other Infestations and Bites,522,0.4046,0.1592,Systemic Disease,0.0385
resnet50,Seborrheic Keratoses and other Benign Tumors,1685,0.3503,0.1223,Melanoma Skin Cancer Nevi and Moles,0.0213
resnet50,Systemic Disease,739,0.3898,0.1348,Psoriasis pictures Lichen Planus and related diseases,0.0234
resnet50,Tinea Ringworm Candidiasis and other Fungal Infections,1554,0.3385,0.1443,Psoriasis pictures Lichen Planus and related diseases,0.0151
resnet50,Urticaria Hives,261,0.2701,0.0859,Atopic Dermatitis Photos,0.0464
resnet50,Vascular Tumors,592,0.3585,0.1065,Warts Molluscum and other Viral Infections,0.0278
resnet50,Vasculitis Photos,510,0.3413,0.1191,Atopic Dermatitis Photos,0.0436
resnet50,Warts Molluscum and other Viral Infections,1200,0.3284,0.1124,Vascular Tumors,0.0278
clip,Acne and Rosacea Photos,862,0.1098,0.0668,Cellulitis Impetigo and other Bacterial Infections,0.024
clip,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,1393,0.1269,0.0642,Seborrheic Keratoses and other Benign Tumors,0.0114
clip,Atopic Dermatitis Photos,603,0.1422,0.0721,Exanthems and Drug Eruptions,0.0125
clip,Bullous Disease Photos,544,0.1231,0.0569,Cellulitis Impetigo and other Bacterial Infections,0.0061
clip,Cellulitis Impetigo and other Bacterial Infections,351,0.1376,0.066,Bullous Disease Photos,0.0061
clip,Eczema Photos,1422,0.1158,0.0521,Psoriasis pictures Lichen Planus and related diseases,0.0117
clip,Exanthems and Drug Eruptions,468,0.1469,0.0609,Atopic Dermatitis Photos,0.0125
clip,Hair Loss Photos Alopecia and other Hair Diseases,277,0.1589,0.0646,Seborrheic Keratoses and other Benign Tumors,0.0638
clip,Herpes HPV and other STDs Photos,487,0.1319,0.0664,Tinea Ringworm Candidiasis and other Fungal Infections,0.0128
clip,Light Diseases and Disorders of Pigmentation,686,0.1373,0.0655,Lupus and other Connective Tissue diseases,0.0071
clip,Lupus and other Connective Tissue diseases,519,0.1532,0.0591,Light Diseases and Disorders of Pigmentation,0.0071
clip,Melanoma Skin Cancer Nevi and Moles,557,0.1251,0.0592,Seborrheic Keratoses and other Benign Tumors,0.0107
clip,Nail Fungus and other Nail Disease,1164,0.0927,0.0588,Warts Molluscum and other Viral Infections,0.0765
clip,Poison Ivy Photos and other Contact Dermatitis,316,0.145,0.0856,Cellulitis Impetigo and other Bacterial Infections,0.0076
clip,Psoriasis pictures Lichen Planus and related diseases,1590,0.1445,0.061,Tinea Ringworm Candidiasis and other Fungal Infections,0.0044
clip,Scabies Lyme Disease and other Infestations and Bites,522,0.1622,0.0919,Tinea Ringworm Candidiasis and other Fungal Infections,0.0128
clip,Seborrheic Keratoses and other Benign Tumors,1685,0.1345,0.0603,Melanoma Skin Cancer Nevi and Moles,0.0107
clip,Systemic Disease,739,0.1511,0.0689,Psoriasis pictures Lichen Planus and related diseases,0.0093
clip,Tinea Ringworm Candidiasis and other Fungal Infections,1554,0.1412,0.0713,Psoriasis pictures Lichen Planus and related diseases,0.0044
clip,Urticaria Hives,261,0.1014,0.0479,Exanthems and Drug Eruptions,0.0155
clip,Vascular Tumors,592,0.1415,0.0546,Cellulitis Impetigo and other Bacterial Infections,0.0086
clip,Vasculitis Photos,510,0.107,0.0601,Bullous Disease Photos,0.0136
clip,Warts Molluscum and other Viral Infections,1200,0.1249,0.0556,Vascular Tumors,0.0118
